Active_Site	Cluster

'46495'	0.000000

'20856'	1.000000

'34563'	2.000000

'78796'	3.000000

'9776'	4.000000

'7674'	5.000000

'91796'	6.000000

'63064'	7.000000

'63703'	8.000000

'8208'	9.000000

'28919'	10.000000

'81816'	11.000000

'34088'	12.000000

'37224'	13.000000

'40084'	14.000000

'23319'	15.000000

'42296'	16.000000

'42269'	17.000000

'17526'	18.000000

'38472'	19.000000

'83227'	20.000000

'29209'	21.000000

'83394'	22.000000

'94372'	23.000000

'93192'	24.000000

'98170'	25.000000

'73462'	26.000000

'27031'	27.000000

'28672'	28.000000

'46975'	29.000000

'25551'	30.000000

'91194'	31.000000

'18773'	32.000000

'37237'	33.000000

'25196'	34.000000

'61242'	35.000000

'56029'	36.000000

'42074'	37.000000

'35014'	38.000000

'19267'	39.000000

'1806'	40.000000

'57644'	41.000000

'26095'	42.000000

'64258'	43.000000

'84035'	44.000000

'45127'	45.000000

'34047'	46.000000

'14181'	47.000000

'57481'	48.000000

'29773'	49.000000

'54203'	50.000000

'36257'	51.000000

'4629'	52.000000

'26246'	53.000000

'37438'	54.000000

'98797'	55.000000

'81563'	56.000000

'65815'	57.000000

'38181'	58.000000

'63634'	59.000000

'23760'	60.000000

'49624'	61.000000

'39117'	62.000000

'24634'	63.000000

'94652'	64.000000

'7780'	65.000000

'73624'	66.000000

'3733'	67.000000

'73183'	68.000000

'42202'	69.000000

'32054'	70.000000

'50362'	71.000000

'276'	72.000000

'70919'	73.000000

'94719'	74.000000

'10814'	75.000000

'25878'	76.000000

'39299'	77.000000

'27312'	78.000000

'88042'	79.000000

'52954'	80.000000

'20326'	81.000000

'8304'	82.000000

'72058'	83.000000

'34958'	84.000000

'41719'	85.000000

'97612'	86.000000

'47023'	87.000000

'23812'	88.000000

'50018'	88.000000

'41729'	89.000000

'3458'	89.000000

'91911'	90.000000

'32088'	90.000000

'82212'	91.000000

'85232'	91.000000

'15813'	92.000000

'83741'	92.000000

'13052'	93.000000

'52235'	93.000000

'82993'	94.000000

'64392'	94.000000

'29047'	95.000000

'93168'	95.000000

'42633'	96.000000

'57602'	96.000000

'53272'	97.000000

'43878'	97.000000

'97218'	98.000000

'82886'	98.000000

'69893'	99.000000

'91426'	99.000000

'96099'	100.000000

'82238'	100.000000

'68578'	101.000000

'55996'	101.000000

'93456'	102.000000

'85492'	102.000000

'33838'	103.000000

'70005'	103.000000

'71389'	104.000000

'38031'	104.000000

'58445'	105.000000

'46042'	105.000000

'39939'	106.000000

'81697'	106.000000

'17622'	107.000000

'56394'	107.000000

'81859'	108.000000

'10701'	108.000000

'6040'	109.000000

'24307'	109.000000

'57370'	110.000000

'62186'	110.000000

'22711'	111.000000

'38846'	111.000000

